Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
03.01.18.b,Authorize the connection of mobile devices to the system.,IAC-04,"esx-9.iscsi-mutual-chap, vsan-9.iscsi-mutual-chap"
03.03.01.a,Specify the following event types selected for logging within the system: [Assignment: organization-defined event types].,"MON-01.4, MON-02.7, MON-03","esx-9.cpu-hyperthread-warning, esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, esx-9.shell-warning, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.events-remote-logging, vcenter-9.logs-level-global, vm-9.log-enable"
03.03.01.b,Review and update the event types selected for logging [Assignment: organization-defined frequency].,MON-02.2,"esx-9.hardware-management-log-forwarding, operations-9.log-collection"
03.03.02.a,Include the following content in audit records:,MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
03.03.02.a.01,What type of event occurred.,MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
03.03.02.a.02,When the event occurred.,"MON-03, MON-07","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, nsx-9.timezone-utc, vcenter-9.logs-level-global, vm-9.log-enable"
03.03.02.a.03,Where the event occurred.,MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
03.03.02.a.04,Source of the event.,MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
03.03.02.a.05,Outcome of the event.,MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
03.03.02.a.06,"Identity of the individuals, subjects, objects, or entities associated with the event.",MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
03.03.02.b,Provide additional information for audit records as needed.,MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
03.03.03.a,Generate audit records for the selected event types and audit record content specified in 03.03.01 and 03.03.02.,MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
03.03.03.b,Retain audit records for a time period consistent with the records retention policy.,"MON-08, MON-10","automation-9.activity-log, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.action-history-retention, operations-9.log-retention, operations-9.logs-authenticated-ingestion, vcenter-9.events-database-retention, vm-9.log-retention"
03.03.05.a,Review and analyze system audit records [Assignment: organization-defined frequency] for indications and the potential impact of inappropriate or unusual activity.,"MON-02, MON-02.2","esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
03.03.05.c,Analyze and correlate audit records across different repositories to gain organization-wide situational awareness.,"MON-02, MON-02.2","esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
03.03.06.b,Preserve the original content and time ordering of audit records.,MON-08,"esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.logs-authenticated-ingestion"
03.03.07.a,Use internal system clocks to generate time stamps for audit records.,MON-07,nsx-9.timezone-utc
03.03.07.b,"Record time stamps for audit records that meet [Assignment: organization-defined granularity of time measurement] and that use Coordinated Universal Time (UTC), have a fixed local time offset from UTC, or include the local time offset as part of the time stamp.",MON-07.1,"esx-9.hardware-management-time, esx-9.time, fleet-9.time, pnr-9.time, vcenter-9.time"
03.03.08.a,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.","IAC-21, MON-08","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.logs-authenticated-ingestion, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
03.03.08.b,Authorize access to management of audit logging functionality to only a subset of privileged users or roles.,IAC-21,"esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
03.04.01.a,"Develop and maintain under configuration control, a current baseline configuration of the system.","CFG-02, CFG-02.7",vcf-9.secure-baseline
03.04.02.a,"Establish, document, and implement the following configuration settings for the system that reflect the most restrictive mode consistent with operational requirements: [Assignment: organization-defined configuration settings].","CFG-02, CFG-03, CFG-06","automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-reset-port, vcenter-9.network-restrict-discovery-protocol, vcenter-9.network-restrict-port-level-overrides, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.force-provisioning, vsan-9.hcl-internet"
03.04.02.b,"Identify, document, and approve any deviations from established configuration settings.","CFG-02.7, CFG-06, CHG-02, CHG-04","esx-9.hardware-management-config-lock, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, vcenter-9.network-reset-port, vcenter-9.network-restrict-port-level-overrides, vcf-9.secure-baseline, vsan-9.auto-policy-management, vsan-9.force-provisioning, vsan-9.managed-disk-claim"
03.04.03.a,Define the types of changes to the system that are configuration-controlled.,"CFG-06, CHG-02","vcenter-9.network-reset-port, vcenter-9.network-restrict-port-level-overrides, vsan-9.auto-policy-management, vsan-9.force-provisioning"
03.04.03.b,"Review proposed configuration-controlled changes to the system, and approve or disapprove such changes with explicit consideration for security impacts.",CHG-02,vsan-9.auto-policy-management
03.04.03.c,Implement and document approved configuration-controlled changes to the system.,CHG-02,vsan-9.auto-policy-management
03.04.05,"Access Restrictions for Change: Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.","CHG-04, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.hardware-management-config-lock, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough, vsan-9.managed-disk-claim"
03.04.06.a,Configure the system to provide only mission-essential capabilities.,"CFG-02, CFG-03","automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
