Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
6.1,Establish an Access Granting Process,IAC-07,operations-9.non-imported-vidm
6.2,Establish an Access Revoking Process,IAC-07,operations-9.non-imported-vidm
6.5,Require MFA for Administrative Access,IAC-06.1,vcf-9.mfa
6.6,Establish and Maintain an Inventory of Authentication andAuthorization Systems,IAC-01.2,vcenter-9.administration-sso-groups
6.7,Centralize Access Control,IAC-02,vcf-9.mfa
7.0,"Continuous Vulnerability Management: Develop a plan to continuously assess and track vulnerabilities on all enterprise assets within the enterprise’s infrastructure, in order to remediate, and minimize, the window of opportunity for attackers. Monitor public and private industry sources for new threat and vulnerability information.",VPM-04,esx-9.supported
7.3,Perform Automated Operating System Patch Management,VPM-05,"esx-9.hardware-firmware-updates, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
7.4,Perform Automated Application Patch Management,"VPM-05, VPM-05.4","esx-9.hardware-firmware-updates, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
7.7,Remediate Detected Vulnerabilities,VPM-04,esx-9.supported
8.1,Establish and Maintain an Audit Log Management Process,"MON-02, MON-04, MON-10","automation-9.activity-log, esx-9.hardware-boot, esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-forwarding, esx-9.log-persistent, guest-9.tools-log-forwarding, operations-9.action-history-retention, operations-9.log-collection, operations-9.log-retention, pnr-9.log-forwarding, vcenter-9.events-database-retention, vcenter-9.log-forwarding, vm-9.log-retention, vm-9.log-rotation-size"
8.2,Collect Audit Logs,"MON-01.4, MON-02, MON-02.7, MON-03","esx-9.cpu-hyperthread-warning, esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-audit-local, esx-9.log-filter, esx-9.log-forwarding, esx-9.log-level, esx-9.shell-warning, guest-9.tools-log-forwarding, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.events-remote-logging, vcenter-9.log-forwarding, vcenter-9.logs-level-global, vm-9.log-enable"
8.3,Ensure Adequate Audit Log Storage,"MON-02, MON-04","esx-9.hardware-boot, esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-audit-local-capacity, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding, vm-9.log-retention, vm-9.log-rotation-size"
8.4,Standardize Time Synchronization,"MON-02, MON-07.1","esx-9.hardware-management-log-forwarding, esx-9.hardware-management-time, esx-9.log-audit-forwarding, esx-9.log-forwarding, esx-9.time, fleet-9.time, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, pnr-9.time, vcenter-9.log-forwarding, vcenter-9.time"
8.5,Collect Detailed Audit Logs,"MON-02, MON-03","esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-audit-local, esx-9.log-filter, esx-9.log-forwarding, esx-9.log-level, guest-9.tools-log-forwarding, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding, vcenter-9.logs-level-global, vm-9.log-enable"
8.6,Collect DNS Query Audit Logs,MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
8.7,Collect URL Request Audit Logs,MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
8.8,Collect Command-Line Audit Logs,MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
8.9,Centralize Audit Logs,MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
8.11,8.Conduct Audit Log Reviews,MON-02.2,"esx-9.hardware-management-log-forwarding, operations-9.log-collection"
8.12,8.Collect Service Provider Logs,MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
9.6,Block Unnecessary File Types,NET-03,"nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
10.3,Disable Autorun and Autoplay for Removable Media,CFG-02,vcf-9.secure-baseline
10.4,Configure Automatic Anti-Malware Scanning of Removable Media,CFG-02,vcf-9.secure-baseline
10.5,Enable Anti-Exploitation Features,CFG-02,vcf-9.secure-baseline
11.2,Perform Automated Backups,BCD-11,nsx-9.backup
11.3,Protect Recovery Data,BCD-11.4,vcenter-9.native-key-provider-backup
12.1,Ensure Network Infrastructure is Up-to-Date,"VPM-04, VPM-04.1, VPM-05","esx-9.hardware-firmware-updates, esx-9.supported, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.supported, vcenter-9.vami-updates, vm-9.virtual-hardware"
12.5,"Centralize Network Authentication, Authorization, and Auditing (AAA)","IAC-01.2, IAC-02, IAC-04","esx-9.iscsi-mutual-chap, vcenter-9.administration-sso-groups, vcf-9.mfa, vsan-9.iscsi-mutual-chap"
12.6,Use of Secure Network Management and Communication Protocols,NET-04,"esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
12.7,Ensure Remote Devices Utilize a VPN and are Connecting to anEnterprise’s AAA Infrastructure,NET-14,pnr-9.ssh
13.1,Centralize Security Event Alerting,MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
13.4,Perform Traffic Filtering Between Network Segments,"NET-04, NET-04.1","esx-9.firewall-incoming-default, esx-9.firewall-restrict-access, esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, operations-9.firewall-hardening, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vcenter-9.vami-firewall-restrict-access, vcf-9.perimeter-firewall, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
13.5,Manage Access Control for Remote Assets,NET-03,"nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
15.4,Ensure Service Provider Contracts Include Security Requirements,TPM-04,vcenter-9.administration-client-plugins
15.5,Assess Service Providers,TPM-04,vcenter-9.administration-client-plugins
16.7,Use Standard Hardening Configuration Templates for ApplicationInfrastructure,CFG-02,vcf-9.secure-baseline
18.3,Remediate Penetration Test Findings,"VPM-04, VPM-05","esx-9.hardware-firmware-updates, esx-9.supported, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
