Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
8.4.3,"8.4.3 MFA is implemented for all remote network access originating from outside the entity’s network that could access or impact the CDE.
 Applicability Notes
 The requirement for MFA for remote access originating from outside the entity’s network applies to all user accounts that can access the network remotely, where that remote access leads to or could lead to access into the CDE. This includes all remote access by personnel (users and administrators), and third parties (including, but not limited to, vendors, suppliers, service providers, and customers).
 If remote access is to a part of the entity’s network that is properly segmented from the CDE, such that remote users cannot access or impact the CDE, MFA for remote access to that part of the network is not required. However, MFA is required for any remote access to networks with access to the CDE and is recommended for all remote access to the entity’s networks.
 The MFA requirements apply for all types of system components, including cloud, hosted systems, and on-premises applications, network security devices, workstations, servers, and endpoints, and includes access directly to an entity’s networks or systems as well as web-based access to an application or function.",IAC-06.1,vcf-9.mfa
8.5,8.5 Multi-factor authentication is implemented to secure access to the CDE.,CFG-02,vcf-9.secure-baseline
8.6,8.6 Use of application and system accounts and associated authentication factors are strictly managed.,"IAC-15.7, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.disable-accounts-dcui, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, nsx-9.disable-accounts, vcenter-9.disable-accounts, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
8.6.1,"8.6.1 If accounts used by systems or applications can be used for interactive login, they are managed as follows: 
 • Interactive use is prevented unless needed for an exceptional circumstance.
 • Interactive use is limited to the time needed for the exceptional circumstance.
 • Business justification for interactive use is documented.
 • Interactive use is explicitly approved by management. 
 • Individual user identity is confirmed before access to account is granted.
 • Every action taken is attributable to an individual user. 
 Applicability Notes
 This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.","IAC-15.7, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.disable-accounts-dcui, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, nsx-9.disable-accounts, vcenter-9.disable-accounts, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
8.6.3,"8.6.3 Passwords/passphrases for any application and system accounts are protected against misuse as follows: 
 • Passwords/passphrases are changed periodically (at the frequency defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1) and upon suspicion or confirmation of compromise.
 • Passwords/passphrases are constructed with sufficient complexity appropriate for how frequently the entity changes the passwords/passphrases. 
 Applicability Notes
 This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.","IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
9.4,"9.4 Media with cardholder data is securely stored, accessed, distributed, and destroyed.",CRY-05,"esx-9.memory-tiering-encryption, esx-9.tpm-configuration, vsan-9.encryption-rest"
9.4.1.1,9.4.1.1 Offline media backups with cardholder data are stored in a secure location.,BCD-11,nsx-9.backup
9.4.1.2,9.4.1.2 The security of the offline media backup location(s) with cardholder data is reviewed at least once every 12 months.,BCD-11,nsx-9.backup
10.2,"10.2 Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.","CFG-02, MON-01.4, MON-03, MON-07","esx-9.cpu-hyperthread-warning, esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, esx-9.shell-warning, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, nsx-9.timezone-utc, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
10.2.1,10.2.1 Audit logs are enabled and active for all system components and cardholder data.,"CFG-02, MON-03","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
10.2.1.1,10.2.1.1 Audit logs capture all individual user access to cardholder data.,"CFG-02, MON-03","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
10.2.1.2,"10.2.1.2 Audit logs capture all actions taken by any individual with administrative access, including any interactive use of application or system accounts.","CFG-02, MON-03","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
10.2.1.3,10.2.1.3 Audit logs capture all access to audit logs.,"CFG-02, MON-03","esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vcf-9.secure-baseline, vm-9.log-enable"
