Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
MON-02.2,"Automated mechanisms exist to centrally collect, review and analyze audit records from multiple sources.",MON-02.2,"esx-9.hardware-management-log-forwarding, operations-9.log-collection"
MON-02.7,Automated mechanisms exist to compile audit records into an organization-wide audit trail that is time-correlated.,MON-02.7,vcenter-9.events-remote-logging
MON-03,"Mechanisms exist to configure Technology Assets, Applications and/or Services (TAAS) to produce event logs that contain sufficient information to, at a minimum:
(1) Establish what type of event occurred;
(2) When (date and time) the event occurred;
(3) Where the event occurred;
(4) The source of the event;
(5) The outcome (success or failure) of the event; and 
(6) The identity of any user/subject associated with the event.",MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
MON-04,Mechanisms exist to allocate and proactively manage sufficient event log storage capacity to reduce the likelihood of such capacity being exceeded.,MON-04,"esx-9.hardware-boot, esx-9.log-audit-local-capacity, vm-9.log-retention, vm-9.log-rotation-size"
MON-07,"Mechanisms exist to configure Technology Assets, Applications and/or Services (TAAS) to use an authoritative time source to generate time stamps for event logs.",MON-07,nsx-9.timezone-utc
MON-07.1,Mechanisms exist to synchronize internal system clocks with an authoritative time source.,MON-07.1,"esx-9.hardware-management-time, esx-9.time, fleet-9.time, pnr-9.time, vcenter-9.time"
MON-08,"Mechanisms exist to protect event logs and audit tools from unauthorized access, modification and deletion.",MON-08,"esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.logs-authenticated-ingestion"
MON-10,"Mechanisms exist to retain event logs for a time period consistent with records retention requirements to provide support for after-the-fact investigations of security incidents and to meet statutory, regulatory and contractual retention requirements.",MON-10,"automation-9.activity-log, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-persistent, operations-9.action-history-retention, operations-9.log-retention, vcenter-9.events-database-retention, vm-9.log-retention"
MON-13,Mechanisms exist to provide an alternate event logging capability in the event of a failure in primary audit capability.,MON-13,esx-9.log-forwarding
NET-02.1,Automated mechanisms exist to protect against or limit the effects of denial of service attacks.,NET-02.1,"esx-9.network-bpdu, nsx-9.bgp-max-prefixes, nsx-9.reverse-path-forwarding, nsx-9.t0-ipv6-hop-limit, nsx-9.t1-ipv6-hop-limit, vcenter-9.network-nioc"
NET-03,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,NET-03,"nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
NET-03.1,"Mechanisms exist to limit the number of concurrent external network connections to its Technology Assets, Applications and/or Services (TAAS).",NET-03.1,nsx-9.api-rate-limits
NET-03.3,Mechanisms exist to prevent the public disclosure of internal network information.,NET-03.3,"vcenter-9.network-restrict-discovery-protocol, vcenter-9.vds-health-check-disable"
NET-03.5,Automated mechanisms exist to prevent the unauthorized exfiltration of sensitive/regulated data across managed interfaces.,NET-03.5,vcenter-9.network-restrict-port-mirroring
NET-04,Mechanisms exist to implement and govern Access Control Lists (ACLs) to provide data flow enforcement that explicitly restrict network traffic to only what is authorized.,NET-04,"esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
NET-04.1,"Mechanisms exist to configure firewall and router configurations to deny network traffic by default and allow network traffic by exception (e.g., deny all, permit by exception).",NET-04.1,"esx-9.firewall-incoming-default, esx-9.firewall-restrict-access, operations-9.firewall-hardening, vcenter-9.vami-firewall-restrict-access, vcf-9.perimeter-firewall, vsan-9.file-services-access-control-nfs"
NET-04.12,Automated mechanisms exist to uniquely identify and authenticate source and destination points for information transfer.,NET-04.12,operations-9.logs-authenticated-ingestion
NET-06,"Mechanisms exist to ensure network architecture utilizes network segmentation to isolate Technology Assets, Applications and/or Services (TAAS) to protect from other network resources.",NET-06,"esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
NET-06.1,Mechanisms exist to implement security management subnets to isolate security tools and support components from other internal system components by implementing separate subnetworks with managed interfaces to other components of the system.,NET-06.1,"esx-9.vmk-management, vcf-9.perimeter-firewall"
NET-06.2,Mechanisms exist to enable Virtual Local Area Networks (VLANs) to limit the ability of devices on a network to directly communicate with other devices on the subnet and limit an attacker's ability to laterally move to compromise neighboring systems.,NET-06.2,"esx-9.network-vgt, vcenter-9.network-vgt"
NET-06.4,"Mechanisms exist to isolate sensitive/regulated data enclaves (secure zones) from corporate-provided IT resources by providing enclave-specific IT services (e.g., directory services, DNS, NTP, ITAM, antimalware, patch management, etc.) to those isolated network segments.",NET-06.4,esx-9.hardware-management-authentication
NET-09,Mechanisms exist to protect the authenticity and integrity of communications sessions.,NET-09,"nsx-9.bgp-encryption, nsx-9.ospf-encryption"
NET-10,"Mechanisms exist to ensure Domain Name Service (DNS) resolution is designed, implemented and managed to protect the security of name / address resolution.",NET-10,fleet-9.dns
NET-12,"Cryptographic mechanisms exist to implement strong cryptography and security protocols to safeguard sensitive/regulated data during transmission over open, public networks.",NET-12,"nsx-9.snmp, vcenter-9.snmp, vcenter-9.snmp3"
NET-13,"Mechanisms exist to protect the confidentiality, integrity and availability of electronic messaging communications.",NET-13,vcenter-9.smtp
NET-14,"Mechanisms exist to define, control and review organization-approved, secure remote access methods.",NET-14,pnr-9.ssh
NET-14.4,Mechanisms exist to restrict the execution of privileged commands and access to security-relevant information via remote access only for compelling operational needs.,NET-14.4,"esx-9.ssh, vcenter-9.ssh"
SEA-03.2,Mechanisms exist to separate user functionality from system management functionality.,SEA-03.2,esx-9.hardware-virtual-nic
SEA-05,Mechanisms exist to prevent unauthorized and unintended information transfer via shared system resources.,SEA-05,"esx-9.memeagerzero, esx-9.transparent-page-sharing, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.isolation-tools-dnd-deactivate, vm-9.transparentpagesharing-inter-vm-enabled"
SEA-06,Automated mechanisms exist to prevent the execution of unauthorized software programs.,SEA-06,esx-9.tpm-trusted-binaries
SEA-10,Mechanisms exist to implement security safeguards to protect system memory from unauthorized code execution.,SEA-10,"esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc"
SEA-18,"Mechanisms exist to utilize system use notification / logon banners that display an approved system use notification message or banner before granting access to Technology Assets, Applications and/or Services (TAAS).",SEA-18,"esx-9.etc-issue, esx-9.login-message, networks-9.login-message, nsx-9.login-message, operations-9.login-message, vcenter-9.etc-issue, vcenter-9.login-message"
SEA-20,Mechanisms exist to utilize time-synchronization technology to synchronize all critical system clocks.,SEA-20,"esx-9.hardware-management-time, esx-9.time, fleet-9.time, pnr-9.time, vcenter-9.time"
TDA-01.2,Mechanisms exist to utilize integrity validation mechanisms for security updates.,TDA-01.2,"esx-9.vib-acceptance-level-supported, operations-9.unsigned-pak"
TDA-02.2,Mechanisms exist to limit the use of commercially-provided Information Assurance (IA) and IA-enabled IT products to those products that have been successfully evaluated against a National Information Assurance partnership (NIAP)-approved Protection Profile or the cryptographic module is FIPS-validated or NSA-approved.,TDA-02.2,esx-9.vmotion-encryption-offload
TDA-17,"Mechanisms exist to prevent unsupported Technology Assets, Applications and/or Services (TAAS) by:
(1) Removing and/or replacing TAAS when support for the components is no longer available from the developer, vendor or manufacturer; and
(2) Requiring justification and documented approval for the continued use of unsupported TAAS required to satisfy mission/business needs.",TDA-17,"esx-9.supported, vcenter-9.supported"
TPM-03,"Mechanisms exist to:
(1) Evaluate security risks and threats associated with Technology Assets, Applications and/or Services (TAAS) supply chains; and
(2) Take appropriate remediation actions to minimize the organization's exposure to those risks and threats, as necessary.",TPM-03,vcenter-9.administration-client-plugins
TPM-04,"Mechanisms exist to mitigate the risks associated with third-party access to the organization's Technology Assets, Applications, Services and/or Data (TAASD).",TPM-04,vcenter-9.administration-client-plugins
VPM-04,Mechanisms exist to address new threats and vulnerabilities on an ongoing basis and ensure assets are protected against known attacks.,VPM-04,esx-9.supported
VPM-04.1,Mechanisms exist to install the latest stable version of any software and/or security-related updates on all applicable systems.,VPM-04.1,"esx-9.updates, vcenter-9.supported, vcenter-9.vami-updates, vm-9.virtual-hardware"
VPM-05,"Mechanisms exist to conduct software patching for all deployed Technology Assets, Applications and/or Services (TAAS), including firmware.",VPM-05,"esx-9.hardware-firmware-updates, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.vami-updates, vm-9.virtual-hardware"
VPM-05.4,Automated mechanisms exist to install the latest stable versions of security-relevant software and firmware updates.,VPM-05.4,guest-9.tools-upgrade
VPM-05.8,"Mechanisms exist to ensure software and/or firmware patches are:
(1) Obtained from trusted sources; and 
(2) Checked for integrity.",VPM-05.8,esx-9.hardware-firmware-updates
